Participaciones,Vistas,Horas,%Avance del curso,Nombre alumno,Matricula,Global Actividad 1,Global Actividad 2,Global Actividad 3,Global Actividad 4,Actividad 1,Actividad 2,Actividad 3,Actividad 4,Actividad 5,Actividad 6,Quiz 1,Actividad 7,Quiz 2,Quiz 3,Fase 1,Fase 2,Fase 3,Fase 4,Evidencia 1,Evidencia 2,Final,Completadas,Faltantes
26,392,04:57:54,34,NA,A00000054,0,,,,100,0,0,0,,,100,,,,,,,,,,6,2,19
21,1304,12:58:50,34,NA,A00000055,100,100,,,80,100,90,100,,,91.67,,,,,,,,,,19.07,8,13
21,701,10:59:00,34,NA,A00000056,100,,,,100,100,100,100,,,100,,,,,,,,,,15,6,15
22,2679,18:17:47,34,NA,A00000057,100,100,,,90,100,100,90,,,100,,,,,,,,,,19.5,8,13
24,1136,26:00:50,34,NA,A00000058,100,,,,100,100,100,100,,,90,,,,,,,,,,14.6,6,15
22,811,11:12:47,34,NA,A00000059,100,100,,,90,90,100,95,,,78.33,,,,,,,,,,18.58,8,13
24,717,08:14:16,34,NA,A00000060,100,100,,,90,100,100,100,,,90,,,,,,,,,,19.4,8,13
5,247,01:16:18,34,NA,A00000061,0,0,,,0,0,0,0,,,93.33,,,,,,,,,,5.73,2,19
23,398,05:26:50,34,NA,A00000062,100,,,,90,100,100,70,,,90,,,,,,,,,,13.5,6,15
24,939,21:23:50,34,NA,A00000063,100,,,,90,100,100,100,,,85,,,,,,,,,,14.2,6,15
24,1150,21:01:56,34,NA,A00000064,100,100,,,80,100,90,100,,,83.33,,,,,,,,,,16.73,7,14
24,950,22:13:09,34,NA,A00000065,100,100,,,90,93,100,90,,,80,,,,,,,,,,18.56,8,13
24,1004,14:46:13,34,NA,A00000066,100,,,,90,100,100,100,,,93.33,,,,,,,,,,14.53,6,15
41,2046,12:29:38,34,NA,A00000067,100,0,,,90,100,100,0,,,100,,,,,,,,,,11.8,5,16
21,1348,44:29:59,34,NA,A00000068,0,0,,,60,0,100,0,,,61.67,,,,,,,,,,5.67,3,18
34,1623,11:05:24,34,NA,A00000069,100,100,,,90,100,100,95,,,83.33,,,,,,,,,,18.98,8,13
24,1005,20:32:39,34,NA,A00000070,100,100,,,100,90,100,90,,,85.83,,,,,,,,,,18.93,8,13
15,898,05:39:01,34,NA,A00000071,90,0,,,100,100,100,85,,,88.33,,,,,,,,,,13.88,6,15
25,533,10:16:13,34,NA,A00000072,100,100,,,80,100,100,96,,,80,,,,,,,,,,18.48,8,13
22,1362,14:59:20,34,NA,A00000073,100,,,,80,100,100,100,,,95,,,,,,,,,,14.4,6,15
24,1512,17:24:39,34,NA,A00000074,80,100,,,90,98,80,86,,,95,,,,,,,,,,18.34,8,13
29,641,06:45:34,34,NA,A00000075,0,0,,,80,0,100,55,,,95,,,,,,,,,,10.55,5,16
24,1046,11:20:34,34,NA,A00000076,100,100,,,90,80,100,100,,,91.67,,,,,,,,,,19.07,8,13
21,1272,14:09:41,34,NA,A00000077,100,100,,,80,100,100,60,,,90,,,,,,,,,,16,7,14
23,744,05:25:26,34,NA,A00000078,100,,,,60,100,100,,,,60,,,,,,,,,,9.6,5,16
24,1265,08:52:04,34,NA,A00000079,100,100,,,90,100,100,100,,,93.33,,,,,,,,,,19.53,8,13
7,212,01:05:45,34,NA,A00000080,0,0,,,0,0,0,0,,,90,,,,,,,,,,3.6,1,20
26,1368,26:33:23,34,NA,A00000081,100,,,,90,100,100,75,,,95,,,,,,,,,,13.85,6,15
17,498,03:57:44,34,NA,A00000082,0,100,,,70,100,0,0,,,80,,,,,,,,,,9.6,4,17
21,786,02:48:47,34,NA,A00000083,0,100,,,90,100,40,100,,,86.67,,,,,,,,,,16.07,7,14
17,1344,23:51:02,34,NA,A00000084,100,,,,90,100,60,77,,,86.67,,,,,,,,,,12.78,6,15
20,1072,12:34:04,34,NA,A00000085,100,100,,,90,90,100,100,,,93.33,,,,,,,,,,19.33,8,13
20,1202,19:05:27,34,NA,A00000086,0,100,,,90,100,100,0,,,90,,,,,,,,,,12.4,5,16
25,495,13:35:22,34,NA,A00000087,0,100,,,100,100,100,100,,,93.33,,,,,,,,,,17.73,7,14
18,839,17:34:02,34,NA,A00000088,0,,,,90,100,100,80,,,90,,,,,,,,,,11.8,5,16
27,1156,14:23:43,34,NA,A00000089,100,100,,,90,100,100,100,,,90,,,,,,,,,,19.4,8,13
26,587,03:25:41,34,NA,A00000090,0,100,,,0,100,0,100,,,93.33,,,,,,,,,,13.73,5,16
22,1486,25:06:37,34,NA,A00000091,100,100,,,100,96,100,95,,,95,,,,,,,,,,19.57,8,13
19,457,05:46:18,34,NA,A00000092,0,100,,,90,80,100,100,,,95,,,,,,,,,,15.2,6,15
27,1044,10:51:54,34,NA,A00000093,100,100,,,100,100,100,100,,,88.33,,,,,,,,,,19.53,8,13
23,1939,11:59:45,34,NA,A00000094,100,100,,,90,100,100,70,,,91.67,,,,,,,,,,18.57,8,13
22,1486,17:34:34,34,NA,A00000095,100,,,,90,100,100,100,,,95,,,,,,,,,,14.6,6,15
27,528,05:37:53,34,NA,A00000096,100,,,,90,100,75,,,,95,,,,,,,,,,11.1,5,16
28,2099,13:17:31,34,NA,A00000097,100,100,,,90,100,100,100,,,83.33,,,,,,,,,,19.13,8,13
21,650,05:53:26,34,NA,A00000098,100,100,,,90,100,100,100,,,90,,,,,,,,,,17.4,7,14
23,1060,08:47:52,34,NA,A00000099,100,100,,,100,100,100,60,,,85,,,,,,,,,,18.2,8,13
25,1249,12:24:39,34,NA,A00000100,100,100,,,100,100,100,100,,,80,,,,,,,,,,19.2,8,13
23,604,09:20:34,34,NA,A00000101,0,0,,,100,100,100,80,,,85,,,,,,,,,,13.8,6,15
27,2236,19:26:23,34,NA,A00000102,100,,,,90,100,100,100,,,100,,,,,,,,,,14.8,6,15
22,613,03:52:09,34,NA,A00000103,100,100,,,90,88,100,100,,,90,,,,,,,,,,19.16,8,13
